sku,product_name,ajio_url,ajio_price,match_score
"SKU-448","Ten x You Signed Printed Ball","https://www.ajio.com/ten-x-you-unisex-switch-fan-edit-2-0-multi-sport-sneakers/p/469817213_blue?",3599,40
"SKU-449","Ten x You Signed Printed Cricket Ball","https://www.ajio.com/ten-x-you-men-all-rounder-cricket-shoes/p/469817211_white?",2999,50
"SKU-450","Ten x You SRT Signed Cricket Bat","https://www.ajio.com/ten-x-you-men-all-rounder-cricket-shoes/p/469817211_white?",2999,50
"XM1003","Men's Long Distance Running Tee","https://www.ajio.com/ten-x-you-men-regular-fit-running-shorts/p/469817547_grey?",1290,40
"XM1004","Men's Loose Fit Tee","https://www.ajio.com/ten-x-you-men-regular-fit-crew-neck-training-t-shirt/p/469817535_purple?",989,50
"XM1005","Men's Workout-from-Home Relaxed Fit Tee","https://www.ajio.com/ten-x-you-men-relaxed-fit-running-shorts/p/469817546_black?",1505,43
"XM1009","Men's Street Sport Oversized Tee","https://www.ajio.com/ten-x-you-men-typographic-print-oversized-fit-crew-neck-t-shirt/p/469817540_offwhite?",1110,40
"XM2004","Men's Workout-from-Home Relaxed Fit Tank","https://www.ajio.com/ten-x-you-men-relaxed-fit-running-shorts/p/469817546_black?",1505,43
"XM3006","Men's Straight Fit Jogger","https://www.ajio.com/ten-x-you-men-regular-fit-crew-neck-training-t-shirt/p/469817535_purple?",989,50
"XM5005","Men's Relaxed Fit Above Knee Shorts","https://www.ajio.com/ten-x-you-men-relaxed-fit-running-shorts/p/469817546_black?",1505,67
"XM5006","Men's Flex Collective 7 Training Shorts","https://www.ajio.com/ten-x-you-men-regular-fit-crew-neck-training-t-shirt/p/469817535_purple?",989,40
"XM5007","Men's 5 Lined Running Shorts","https://www.ajio.com/ten-x-you-men-regular-fit-running-shorts/p/469817547_grey?",1290,75
"XM5008","Men's 7 Lined Running Shorts","https://www.ajio.com/ten-x-you-men-regular-fit-running-shorts/p/469817547_grey?",1290,75
"XM5009","Men's Workout Shorts","https://www.ajio.com/ten-x-you-men-regular-fit-running-shorts/p/469817547_grey?",1290,67
"XU002","Centurion Pro Batsman Shoe","https://www.ajio.com/ten-x-you-men-centurion-pro-cricket-shoes/p/469817203_blue?",8969,50
"XU003","Unisex Switch Fan Edit Multi-Sport Sneaker","https://www.ajio.com/ten-x-you-unisex-switch-fan-edit-2-0-multi-sport-sneakers/p/469817213_blue?",3599,86
"XU003-2","Unisex Switch OG 1.0 Multi-Sport Sneaker","https://www.ajio.com/ten-x-you-unisex-switch-fan-edit-2-0-multi-sport-sneakers/p/469817213_blue?",3599,80
"XU004","Unisex Switch Street Multi-Sport Sneaker","https://www.ajio.com/ten-x-you-unisex-switch-fan-edit-2-0-multi-sport-sneakers/p/469817213_blue?",3599,67
"XU005","Unisex Aeonic Running Shoe","https://www.ajio.com/ten-x-you-unisex-aeonic-running-shoes/p/469817206_green?",3510,75
"XU006","Unisex Zenflo Walking Shoe","https://www.ajio.com/ten-x-you-unisex-zenflo-walking-shoes/p/469817207_black?",4959,75
"XU007","Unisex Crossover Slip On Sneaker","https://www.ajio.com/ten-x-you-unisex-crossover-slip-on-sneakers/p/469817208_blackwhite?",3510,75
"XU008","Unisex Sundowner Denim Sneaker","https://www.ajio.com/ten-x-you-unisex-sundowner-denim-sneakers/p/469817209_green?",2800,75
"XU009","NOX Legacy Sneaker","https://www.ajio.com/ten-x-you-men-nox-legacy-sneakers/p/469817210_black?",3010,67
"XU011","All-rounder Cricket Shoe","https://www.ajio.com/ten-x-you-men-all-rounder-cricket-shoes/p/469817211_white?",2999,75
"XU012","Unisex Switch OG 2.0 Multi-Sport Sneaker","https://www.ajio.com/ten-x-you-unisex-switch-fan-edit-2-0-multi-sport-sneakers/p/469817213_blue?",3599,80
"XU013","Unisex Switch Fan Edit 2.0 Multi-Sport Sneaker","https://www.ajio.com/ten-x-you-unisex-switch-fan-edit-2-0-multi-sport-sneakers/p/469817213_blue?",3599,86
"XU014","Unisex Reset Slides","https://www.ajio.com/ten-x-you-unisex-logo-print-reset-slides/p/469817214_limegreen?",1004,100
"XU015","Unisex Reset Velcro Slides","https://www.ajio.com/ten-x-you-unisex-logo-print-reset-slides/p/469817214_limegreen?",1004,75
"XU017","All-rounder Swing Cricket Shoe","https://www.ajio.com/ten-x-you-men-all-rounder-cricket-shoes/p/469817211_white?",2999,60
"XW1003","Women's Long Distance Running Tee","https://www.ajio.com/ten-x-you-women-regular-fit-crew-neck-running-t-shirt/p/469817555_mauve?",989,40
"XW1010","Women's Relaxed Fit Tee","https://www.ajio.com/ten-x-you-men-relaxed-fit-running-shorts/p/469817546_black?",1505,50
"XW1011","Women's Slim Fit Tee","https://www.ajio.com/ten-x-you-women-regular-fit-crew-neck-running-t-shirt/p/469817555_mauve?",989,50
"XW3016","Women's Straight Fit Joggers","https://www.ajio.com/ten-x-you-women-regular-fit-crew-neck-running-t-shirt/p/469817555_mauve?",989,50
"XW5002","Women's 4 Lined Running Shorts","https://www.ajio.com/ten-x-you-men-regular-fit-running-shorts/p/469817547_grey?",1290,50
"XW5005","Women's 6 Lined Running Shorts","https://www.ajio.com/ten-x-you-men-regular-fit-running-shorts/p/469817547_grey?",1290,50
