sku,product_name,myntra_url,myntra_price,match_score
"SKU-448","Ten x You Signed Printed Ball","https://www.myntra.com/sports-shoes/ten+x+you/ten-x-you-all-rounder-cricket-shoe---ultra-lightweight-full-rubber-studs-for-superior-grip/40099354/buy",3050,40
"SKU-449","Ten x You Signed Printed Cricket Ball","https://www.myntra.com/sports-shoes/ten+x+you/ten-x-you-all-rounder-cricket-shoe---ultra-lightweight-full-rubber-studs-for-superior-grip/40099354/buy",3050,50
"SKU-450","Ten x You SRT Signed Cricket Bat","https://www.myntra.com/sports-shoes/ten+x+you/ten-x-you-all-rounder-cricket-shoe---ultra-lightweight-full-rubber-studs-for-superior-grip/40099354/buy",3050,50
"XA1001","Club Cap","https://www.myntra.com/caps/ten+x+you/ten-x-you-unisex-snapback-cap/39208068/buy",2299,50
"XA1003","Club Cap","https://www.myntra.com/caps/ten+x+you/ten-x-you-unisex-club-baseball-cap/39208069/buy",699,100
"XA1006","Trucker Cap","https://www.myntra.com/caps/ten+x+you/ten-x-you-unisex-snapback-cap/39208068/buy",2299,50
"XM1000","Men's Flex Collective Lightweight Training Tee","https://www.myntra.com/tshirts/ten+x+you/ten-x-you-lightweight-buttery-feel-gym-and-training-t-shirt/39109690/buy",999,56
"XM1003","Men's Long Distance Running Tee","https://www.myntra.com/tshirts/ten+x+you/ten-x-you-run-the-world-lightweight-running-t-shirt/39109691/buy",999,86
"XM1004","Men's Loose Fit Tee","https://www.myntra.com/tshirts/ten+x+you/ten-x-you-relaxed-fit-sport-to-street-t-shirt/39062509/buy",699,71
"XM1005","Men's Workout-from-Home Relaxed Fit Tee","https://www.myntra.com/tshirts/ten+x+you/ten-x-you-relaxed-fit-sport-to-street-t-shirt/39062509/buy",699,71
"XM1009","Men's Street Sport Oversized Tee","https://www.myntra.com/tshirts/ten+x+you/ten-x-you-relaxed-fit-sport-to-street-t-shirt/39062509/buy",699,50
"XM1012","Men's Ultra-lightweight Tempo Running Tee","https://www.myntra.com/tshirts/ten+x+you/ten-x-you-lightweight-melange-running-t-shirt/39109695/buy",799,80
"XM2000","Men's Ultra-lightweight Tempo Running Tank","https://www.myntra.com/tshirts/ten+x+you/ten-x-you-run-the-world-lightweight-running-t-shirt/39109691/buy",999,67
"XM2004","Men's Workout-from-Home Relaxed Fit Tank","https://www.myntra.com/tshirts/ten+x+you/ten-x-you-sport-to-street-relaxed-fit-tank-t-shirt/39115461/buy",699,75
